BATHRM,HF_BATHRM,ROOMS,BEDRM,AYB,YR_RMDL,STORIES,SALEDATE,SALEMONTH,SALEDAY,SALEYEAR,GBA,CNDTN,LANDAREA,PRICE
4,0,8,4,1910,1988,3,11/25/03 0:00,11,25,2003,2522,Good,1680,1095000
3,1,9,5,1910,2009,3,6/21/16 0:00,6,21,2016,2522,Very Good,1680,2100000
3,1,8,5,1900,2003,3,7/12/06 0:00,7,12,2006,2484,Good,1680,1602000
3,1,8,4,1906,2011,3,9/29/11 0:00,9,29,2011,2401,Average,1627,1050000
3,1,7,3,1908,2008,2,5/3/18 0:00,5,3,2018,1488,Very Good,1424,1430000
3,1,5,3,1917,2000,2,9/30/11 0:00,9,30,2011,2692,Very Good,1815,1325000
3,1,8,3,1908,2006,2,11/4/10 0:00,11,4,2010,1662,Very Good,1424,1240000
3,1,9,3,1908,2013,2,7/23/01 0:00,7,23,2001,1598,Good,1424,592250
3,1,14,5,1880,2009,3,1/12/16 0:00,1,12,2016,3465,Very Good,2090,33232
1,0,6,3,1880,2010,2,1/9/06 0:00,1,9,2006,1790,Good,2090,907400
2,1,5,3,1880,2010,2,8/21/12 0:00,8,21,2012,1600,Very Good,2090,1065000
2,1,8,3,1880,2004,2,7/25/12 0:00,7,25,2012,1958,Good,2090,1100000
1,0,8,4,1880,2010,2,4/2/96 0:00,4,2,1996,2099,Good,2090,20000
3,0,9,3,1900,1963,3,4/6/05 0:00,4,6,2005,2520,Average,1853,703700
3,1,11,3,1900,2014,3,12/11/13 0:00,12,11,2013,2520,Very Good,1853,1210000
2,1,6,2,1890,2004,3,3/30/99 0:00,3,30,1999,2568,Good,1853,130500
2,2,8,4,1800,2009,3,10/20/97 0:00,10,20,1997,2520,Good,1853,339500
3,1,9,4,1800,1978,3,8/28/06 0:00,8,28,2006,2504,Good,1853,1050000
3,1,9,4,1880,2016,3,9/14/16 0:00,9,14,2016,2552,Very Good,1853,1550000
3,1,9,4,1890,2009,3,9/16/15 0:00,9,16,2015,2520,Good,1853,1599900
3,1,13,4,1800,2006,3,3/30/18 0:00,3,30,2018,2382,Excellent,1853,1700000
3,2,10,4,1800,2016,3,5/1/17 0:00,5,1,2017,2520,Very Good,1853,1700000
3,1,10,5,1890,2009,3,11/8/01 0:00,11,8,2001,2520,Good,1853,450000
3,1,9,4,1800,2011,3,3/18/11 0:00,3,18,2011,2610,Average,1971,846000
3,1,5,4,1890,2006,2,8/8/06 0:00,8,8,2006,1468,Good,1853,1312000
1,1,4,2,1900,2004,3,9/26/97 0:00,9,26,1997,2196,Good,1853,390000
3,1,8,3,1890,2007,2,12/20/04 0:00,12,20,2004,1440,Good,1853,772500
1,0,4,1,1885,2004,2,7/2/10 0:00,7,2,2010,1104,Good,374,499000
2,0,9,2,1805,1974,2,3/1/00 0:00,3,1,2000,1104,Average,456,216000
3,1,8,3,1890,2002,2,8/29/02 0:00,8,29,2002,1389,Good,1372,636090
4,2,11,5,1900,2002,4,3/5/14 0:00,3,5,2014,3162,Good,950,1599000
3,1,8,3,1885,2007,2,10/23/95 0:00,10,23,1995,2192,Good,1344,380000
